user_id,product_id,quantity,rating
U065,80,2,4
U084,61,1,4
U031,74,1,5
U026,11,1,3
U021,14,1,4
U056,4,1,5
U027,31,2,5
U024,7,1,3
U020,55,2,3
U034,29,2,5
U069,95,2,2
U057,45,1,5
U040,80,1,3
U030,16,2,4
U073,7,1,4
U090,99,1,5
U098,26,3,5
U005,34,4,5
U006,12,3,1
U066,18,2,5
U068,64,2,4
U054,39,4,2
U067,43,1,4
U019,79,1,5
U017,37,2,4
U076,92,3,3
U078,74,2,4
U079,56,1,5
U064,94,2,4
U055,8,1,4
U047,25,4,4
U068,71,2,3
U088,23,2,4
U069,18,1,4
U004,85,2,5
U077,80,1,3
U099,67,2,4
U032,39,2,1
U013,34,1,2
U098,65,2,3
U057,64,2,4
U082,67,2,4
U096,51,1,5
U061,65,2,3
U083,85,2,4
U026,66,2,4
U085,12,1,5
U071,95,1,2
U030,45,2,3
U049,17,2,5
U098,53,1,1
U012,90,1,4
U048,79,1,5
U021,29,2,4
U075,19,1,5
U027,50,2,3
U031,54,1,2
U025,80,1,5
U075,95,1,4
U007,45,1,5
U100,60,1,4
U081,74,1,4
U013,81,2,5
U028,42,2,3
U024,102,1,3
U064,59,2,2
U077,44,1,2
U098,43,1,5
U031,66,1,5
U051,79,1,1
U021,55,1,3
U078,41,1,4
U052,23,1,3
U094,89,2,4
U093,13,3,5
U006,44,1,3
U004,61,1,4
U063,25,1,5
U014,36,1,2
U082,73,2,4
U043,56,3,4
U002,89,1,3
U065,2,3,4
U046,60,1,4
U076,66,2,4
U096,18,2,4
U049,44,1,4
U012,39,1,3
U049,35,1,3
U100,29,2,3
U061,91,2,5
U071,80,2,5
U095,35,2,2
U058,85,1,4
U015,29,1,3
U007,52,1,4
U096,89,3,3
U010,96,2,4
U050,93,2,5
U061,7,2,3
U052,89,3,1
U023,8,2,3
U074,63,4,4
U019,31,2,4
U037,11,2,4
U097,37,3,4
U091,29,1,3
U017,24,1,3
U038,29,1,3
U058,31,1,4
U017,64,2,4
U016,85,1,4
U071,70,1,5
U013,38,2,5
U006,27,1,5
U084,53,2,4
U087,90,2,3
U081,36,1,1
U027,3,1,4
U078,49,1,3
U066,43,2,5
U054,32,1,3
U094,70,2,5
U018,62,1,3
U019,54,1,2
U087,57,1,3
U078,1,1,4
U084,62,2,4
U045,72,1,4
U011,36,1,3
U052,48,2,4
U056,78,2,3
U022,56,2,4
U087,42,1,4
U018,87,1,4
U040,28,3,4
U063,88,1,4
U100,12,1,5
U097,19,2,3
U015,31,2,4
U080,97,2,5
U027,33,1,1
U090,39,1,5
U022,65,1,3
U031,40,4,3
U054,40,1,4
U064,77,2,1
U055,79,2,2
U030,82,1,5
U011,32,1,4
U071,91,1,4
U047,72,1,3
U054,92,1,1
U036,66,1,5
U081,63,2,3
U002,32,3,3
U018,38,2,3
U003,3,1,5
U063,18,1,4
U016,102,3,3
U083,51,1,3
U047,41,1,1
U046,30,2,5
U041,21,1,3
U094,88,3,5
U097,97,3,3
U063,10,2,4
U089,73,2,5
U098,92,2,3
U062,34,2,5
U051,98,1,5
U015,15,2,3
U059,53,4,5
U011,56,1,5
U039,51,1,3
U096,59,2,3
U052,6,4,5
U034,79,1,5
U006,34,1,5
U070,88,1,5
U039,42,3,4
U009,75,1,3
U088,14,2,5
U021,95,1,3
U078,67,2,4
U096,93,2,3
U070,33,2,2
U021,15,1,4
U024,87,2,4
U008,25,1,3
U024,79,3,5
U091,81,1,2
U095,62,2,2
U051,20,1,1
U043,32,1,5
U051,55,2,3
U049,51,1,4
U002,88,1,4
U046,52,2,4
U054,34,1,4
U051,27,2,5
U006,6,1,5
U094,26,1,5
U008,4,1,5
U010,100,2,2
U016,57,2,5
U092,44,1,5
U040,81,2,4
U039,28,1,4
U003,39,1,3
U082,81,1,2
U019,47,2,4
U047,2,1,4
U041,27,1,4
U062,78,1,4
U099,12,3,3
U018,33,1,4
U076,36,2,2
U017,21,2,3
U013,13,1,5
U021,40,1,5
U011,100,2,4
U061,5,2,5
U077,93,2,4
U028,86,1,2
U040,65,1,4
U099,20,1,3
U011,67,2,4
U019,96,2,4
U063,44,1,2
U004,84,4,4
U003,1,2,3
U081,7,1,4
U083,71,1,4
U016,84,2,4
U050,101,2,4
U079,61,1,1
U004,55,1,4
U089,32,2,4
U067,65,1,1
U011,63,1,4
U004,99,1,5
U012,91,1,5
U008,19,1,5
U029,45,2,1
U054,16,1,4
U052,15,1,3
U071,68,2,4
U045,48,1,5
U078,96,1,3
U041,97,2,5
U062,72,1,5
U052,93,1,2
U027,75,3,4
U030,20,2,3
U003,23,3,2
U080,76,1,5
U069,66,1,5
U025,44,1,5
U004,7,2,4
U097,23,2,4
U070,96,1,5
U030,76,1,4
U067,57,2,3
U059,88,1,5
U065,20,2,4
U039,72,1,3
U002,72,4,4
U066,102,1,4
U068,48,1,4
U088,6,1,5
U038,19,1,4
U059,13,3,4
U058,53,1,3
U078,16,1,4
U079,77,1,1
U063,65,2,2
U079,48,1,5
U003,98,1,5
U017,23,1,3
U008,10,2,3
U039,25,3,4
U091,77,1,1
U097,89,1,4
U073,83,1,4
U031,42,1,5
U084,67,2,4
U019,76,2,4
U027,101,4,4
U030,100,1,3
U030,71,1,4
U091,65,1,4
U053,18,1,5
U009,27,3,4
U099,4,1,2
U066,85,2,3
U021,28,1,3
U046,82,2,4
U024,43,1,5
U080,4,1,2
U015,92,1,5
U068,90,2,2
U063,68,1,4
U022,83,2,5
U069,51,1,4
U081,24,1,3
U006,36,3,5
U076,83,1,2
U028,58,1,3
U024,44,2,4
U066,46,1,5
U054,88,1,5
U021,74,1,4
U018,44,2,5
U010,61,1,4
U071,15,1,3
U085,28,1,3
U086,26,2,5
U064,6,1,3
U013,58,1,3
U036,27,4,4
U004,25,3,4
U082,72,1,4
U069,92,2,1
U100,58,2,4
U023,65,1,2
U070,41,1,5
U098,72,2,5
U065,35,2,5
U045,34,2,4
U084,2,1,2
U080,88,2,5
U066,15,2,2
U037,84,2,4
U077,99,2,5
U095,48,2,4
U092,40,2,3
U061,32,1,3
U022,41,2,5
U030,11,1,3
U093,30,1,4
U030,29,1,3
U069,41,2,3
U013,23,1,3
U062,42,1,4
U012,69,1,2
U066,24,1,4
U032,63,2,2
U028,70,2,4
U054,90,2,4
U069,28,3,4
U049,9,1,5
U082,26,2,2
U034,82,1,4
U069,96,1,4
U027,46,3,4
U004,56,3,5
U035,13,3,2
U013,21,2,5
U003,100,1,4
U081,68,4,4
U031,21,2,4
U030,21,1,2
U017,75,2,1
U067,58,2,1
U044,82,1,5
U032,51,1,4
U083,27,1,2
U045,58,1,5
U046,55,1,4
U035,42,2,4
U026,19,2,3
U039,32,2,4
U027,99,1,4
U098,95,1,4
U100,90,3,3
U020,4,1,4
U062,62,2,4
U054,51,1,1
U010,33,1,2
U089,67,2,4
U022,23,1,1
U029,41,1,2
U092,89,1,3
U030,8,2,4
U021,36,1,4
U007,83,2,3
U069,98,1,3
U035,73,3,5
U095,29,2,1
U057,22,1,4
U017,87,2,4
U085,30,2,1
U038,36,1,2
U072,50,1,5
U079,52,1,4
U077,19,2,4
U014,61,1,2
U009,8,4,4
U044,92,1,5
U012,7,1,5
U029,70,1,5
U039,27,4,4
U057,43,2,3
U095,2,1,4
U043,62,2,4
U021,65,1,4
U078,89,2,4
U073,73,1,3
U034,7,1,4
U092,32,1,4
U072,93,3,1
U013,95,1,3
U078,14,2,4
U073,53,3,5
U050,90,2,1
U070,2,2,5
U019,85,1,2
U022,30,2,4
U079,12,1,4
U035,87,2,4
U035,98,2,5
U067,59,2,4
U021,7,2,3
U035,66,2,5
U029,71,2,2
U044,85,2,1
U097,72,1,3
U040,20,1,3
U095,84,1,3
U009,70,2,4
U077,61,1,3
U008,54,1,4
U015,40,1,5
U049,74,2,1
U091,58,4,4
U015,83,4,3
U095,86,2,4
U087,24,1,4
U083,11,1,4
U040,30,3,3
U098,6,1,3
U052,22,3,3
U059,11,1,5
U066,57,1,4
U049,42,2,3
U021,45,1,4
U019,84,1,5
U048,87,1,4
U049,64,3,3
U024,83,1,2
U093,12,3,4
U074,40,2,4
U009,20,3,3
U071,93,2,3
U070,89,1,5
U031,25,2,3
U052,33,1,3
U017,30,3,3
U043,81,1,5
U084,1,1,4
U058,71,2,4
U059,76,2,2
U050,84,1,5
U037,23,1,1
U028,14,3,1
U010,7,3,2
U001,101,2,5
U013,53,2,4
U090,77,1,3
U075,88,1,5
U071,2,2,1
U027,6,2,4
U043,54,2,4
U057,31,1,4
U042,11,1,3
U028,93,1,4
U067,31,2,5
U023,10,3,3
U090,71,3,2
U010,45,1,3
U041,76,2,4
U085,48,2,2
U060,74,1,4
U075,18,1,3
U097,7,4,4
U095,50,3,5
U028,102,1,4
U024,100,2,4
U083,33,4,2
U066,22,1,4
U040,18,1,4
U086,47,1,3
U071,47,1,4
U027,82,2,2
U062,39,1,4
U016,5,1,4
U003,21,1,3
U031,41,1,4
U097,77,1,5
U064,68,3,3
U062,48,1,3
U049,55,1,4
U003,65,2,3
U005,27,1,4
U014,57,1,5
U070,66,2,4
U018,96,2,4
U005,86,2,5
U040,3,3,3
U066,62,1,5
U046,32,2,4
U006,37,1,2
U090,67,1,2
U025,77,4,4
U100,40,1,3
U051,76,1,4
U072,87,2,5
U066,48,2,4
U055,20,1,3
U072,41,2,1
U098,27,3,5
U055,24,4,5
U004,46,1,4
U035,25,3,3
U079,82,1,4
U058,93,1,1
U051,36,1,3
